Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
4,3,0.125,Exhaustive Search,"[[2, 3], [1, 3], [0, 2]]",12,0.0003571510314941406,11
4,3,0.125,Maximal Clique - Simple Greedy,"[0, 2]",2,4.744529724121094e-05,4
4,3,0.125,Maximum Clique - Branch Bound Greedy,"[2, 3]",Not used,8.940696716308594e-05,1
4,4,0.25,Exhaustive Search,"[[0, 2, 3]]",8,0.00019550323486328125,6
4,4,0.25,Maximal Clique - Simple Greedy,"[0, 2, 3]",3,4.982948303222656e-05,4
4,4,0.25,Maximum Clique - Branch Bound Greedy,"[0, 2, 3]",Not used,8.177757263183594e-05,2
4,5,0.5,Exhaustive Search,"[[1, 2, 3], [0, 2, 3]]",10,0.00021266937255859375,6
4,5,0.5,Maximal Clique - Simple Greedy,"[0, 2, 3]",4,5.245208740234375e-05,4
4,5,0.5,Maximum Clique - Branch Bound Greedy,"[0, 2, 3]",Not used,8.20159912109375e-05,3
4,5,0.75,Exhaustive Search,"[[1, 2, 3], [0, 1, 2]]",14,0.0001995563507080078,6
4,5,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2]",4,4.9114227294921875e-05,4
4,5,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2]",Not used,0.00010728836059570312,4
5,6,0.125,Exhaustive Search,"[[1, 3, 4]]",25,0.00033664703369140625,17
5,6,0.125,Maximal Clique - Simple Greedy,"[1, 3, 4]",3,7.081031799316406e-05,5
5,6,0.125,Maximum Clique - Branch Bound Greedy,"[1, 3, 4]",Not used,0.00015306472778320312,5
5,7,0.25,Exhaustive Search,"[[1, 3, 4], [0, 1, 3]]",40,0.00038242340087890625,17
5,7,0.25,Maximal Clique - Simple Greedy,"[0, 1, 3]",4,9.012222290039062e-05,5
5,7,0.25,Maximum Clique - Branch Bound Greedy,"[0, 1, 3]",Not used,9.560585021972656e-05,6
5,9,0.5,Exhaustive Search,"[[0, 2, 3, 4], [0, 1, 2, 3]]",35,0.00030422210693359375,7
5,9,0.5,Maximal Clique - Simple Greedy,"[0, 1, 2, 3]",8,4.887580871582031e-05,5
5,9,0.5,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3]",Not used,0.00010752677917480469,7
5,9,0.75,Exhaustive Search,"[[0, 2, 3, 4], [0, 1, 2, 3]]",35,0.0002465248107910156,7
5,9,0.75,Maximal Clique - Simple Greedy,"[0, 1, 2, 3]",8,6.341934204101562e-05,5
5,9,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3]",Not used,0.00012040138244628906,8
6,7,0.125,Exhaustive Search,"[[2, 3, 5], [1, 4, 5]]",52,0.0010919570922851562,43
6,7,0.125,Maximal Clique - Simple Greedy,"[1, 4, 5]",3,6.747245788574219e-05,6
6,7,0.125,Maximum Clique - Branch Bound Greedy,"[2, 3, 5]",Not used,8.916854858398438e-05,9
6,7,0.25,Exhaustive Search,"[[4, 5], [3, 4], [2, 4], [1, 5], [1, 3], [1, 2], [0, 1]]",91,0.0011417865753173828,57
6,7,0.25,Maximal Clique - Simple Greedy,"[0, 1]",4,0.0001068115234375,6
6,7,0.25,Maximum Clique - Branch Bound Greedy,"[1, 2]",Not used,0.00010061264038085938,10
6,9,0.5,Exhaustive Search,"[[2, 4, 5], [2, 3, 4], [1, 2, 4], [0, 2, 5]]",72,0.0008995532989501953,43
6,9,0.5,Maximal Clique - Simple Greedy,"[2, 3, 4]",3,8.988380432128906e-05,6
6,9,0.5,Maximum Clique - Branch Bound Greedy,"[2, 4, 5]",Not used,0.00015473365783691406,11
6,12,0.75,Exhaustive Search,"[[0, 3, 4, 5], [0, 2, 4, 5], [0, 1, 3, 5]]",89,0.0011715888977050781,23
6,12,0.75,Maximal Clique - Simple Greedy,"[0, 1, 3, 5]",8,0.00011134147644042969,6
6,12,0.75,Maximum Clique - Branch Bound Greedy,"[0, 3, 4, 5]",Not used,0.00011777877807617188,12
7,9,0.125,Exhaustive Search,"[[0, 2, 3, 5]]",113,0.001382589340209961,73
7,9,0.125,Maximal Clique - Simple Greedy,"[0, 2, 3, 5]",6,9.393692016601562e-05,7
7,9,0.125,Maximum Clique - Branch Bound Greedy,"[0, 2, 3, 5]",Not used,0.00013947486877441406,13
7,10,0.25,Exhaustive Search,"[[4, 5, 6], [2, 4, 5], [2, 3, 5], [0, 2, 5]]",157,0.0016078948974609375,100
7,10,0.25,Maximal Clique - Simple Greedy,"[0, 2, 5]",6,6.0558319091796875e-05,7
7,10,0.25,Maximum Clique - Branch Bound Greedy,"[2, 4, 5]",Not used,0.00014853477478027344,14
7,18,0.5,Exhaustive Search,"[[2, 3, 4, 5, 6], [0, 2, 3, 4, 6], [0, 1, 2, 3, 4]]",147,0.001577615737915039,30
7,18,0.5,Maximal Clique - Simple Greedy,"[2, 3, 4, 5, 6]",10,7.104873657226562e-05,7
7,18,0.5,Maximum Clique - Branch Bound Greedy,"[0, 2, 3, 4, 6]",Not used,0.00013709068298339844,15
7,18,0.75,Exhaustive Search,"[[1, 4, 5, 6], [1, 3, 4, 5], [1, 2, 5, 6], [1, 2, 3, 5], [0, 1, 4, 6], [0, 1, 3, 4], [0, 1, 2, 6], [0, 1, 2, 3]]",306,0.0015797615051269531,65
7,18,0.75,Maximal Clique - Simple Greedy,"[0, 1, 3, 4]",10,5.459785461425781e-05,7
7,18,0.75,Maximum Clique - Branch Bound Greedy,"[0, 1, 2, 3]",Not used,0.0001316070556640625,16
8,8,0.125,Exhaustive Search,"[[6, 7], [5, 7], [4, 7], [3, 4], [2, 7], [1, 6], [1, 3], [0, 1]]",335,0.005080699920654297,247
8,8,0.125,Maximal Clique - Simple Greedy,"[3, 4]",2,5.340576171875e-05,8
8,8,0.125,Maximum Clique - Branch Bound Greedy,"[1, 3]",Not used,0.0003039836883544922,19
8,18,0.25,Exhaustive Search,"[[4, 5, 6, 7], [1, 4, 5, 6], [1, 3, 4, 6], [0, 3, 4, 6]]",340,0.0052416324615478516,164
8,18,0.25,Maximal Clique - Simple Greedy,"[0, 3, 4, 6]",9,7.367134094238281e-05,8
8,18,0.25,Maximum Clique - Branch Bound Greedy,"[1, 3, 4, 6]",Not used,0.00011229515075683594,20
8,19,0.5,Exhaustive Search,"[[3, 5, 6, 7], [2, 4, 6, 7], [2, 3, 6, 7], [0, 3, 5, 7]]",324,0.005987405776977539,164
8,19,0.5,Maximal Clique - Simple Greedy,"[2, 3, 6, 7]",9,5.936622619628906e-05,8
8,19,0.5,Maximum Clique - Branch Bound Greedy,"[2, 4, 6, 7]",Not used,0.0004506111145019531,23
8,23,0.75,Exhaustive Search,"[[0, 3, 5, 6, 7], [0, 3, 4, 5, 6], [0, 2, 3, 6, 7], [0, 2, 3, 4, 6]]",546,0.0026493072509765625,95
